RED,,BLUE,,turquoise,,darkblue,,green,,purple,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.11106557377049175,0.23417721518987378,0.11112564250737553,0.37196023861474625,0.11106557377049181,0.537974683544304,0.11147540983606555,0.604430379746836,0.11106557377049181,0.4477848101265822,0.10942622950819672,0.6471518987341769
0.12499999999999994,0.22468354430379733,0.12504923355333186,0.44310717053548476,0.12499999999999994,0.5427215189873422,0.12499999999999997,0.5712025316455698,0.12499999999999994,0.5949367088607596,0.12377049180327865,0.799050632911392
0.14303278688524582,0.200949367088608,0.14273082742784135,0.40379737399645066,0.14303278688524582,0.5047468354430382,0.14303278688524582,0.5854430379746831,0.14303278688524582,0.8417721518987347,0.14139344262295073,0.9177215189873418
0.15368852459016383,0.181962025316456,0.15371539077628052,0.4109745739492583,0.1540983606557376,0.5047468354430382,0.15368852459016377,0.6329113924050631,0.15368852459016377,0.6613924050632911,0.15245901639344253,0.9746835443037973
0.1668032786885245,0.16772151898734222,0.18192001353447476,0.4102095124586098,0.1668032786885245,0.5522151898734178,0.1668032786885245,0.6471518987341769,0.16680327868852443,0.9414556962025311,0.16516393442622937,0.9224683544303796
0.18196721311475392,0.15348101265822756,0.20012428145624836,0.4042546851882296,0.18196721311475392,0.5284810126582276,0.18196721311475392,0.6613924050632911,0.18196721311475392,0.9034810126582284,0.18073770491803262,1.2262658227848098
0.19999999999999976,0.12974683544303822,0.25016766020864345,0.38727146497264187,0.19999999999999976,0.5237341772151902,0.19999999999999976,0.6566455696202529,0.19999999999999982,0.9651898734177218,0.19877049180327852,1.1977848101265822
0.21065573770491777,0.12025316455696267,0.26663181666109026,0.3813921371914697,0.21065573770491777,0.5332278481012658,0.21065573770491783,0.6993670886075947,0.21065573770491772,1.145569620253164,0.2090163934426227,1.2167721518987338
0.22254098360655714,0.11075949367088622,0.2857180875330755,0.3647918819426508,0.22254098360655714,0.5142405063291147,0.22213114754098331,0.6756329113924049,0.22254098360655714,1.0411392405063293,0.22090163934426207,1.4588607594936702
0.23524590163934397,0.10126582278481067,0.3077768104261074,0.3405727434567156,0.23524590163934397,0.5284810126582276,0.23524590163934397,0.7373417721518982,0.23524590163934397,1.2594936708860756,0.23401639344262262,1.634493670886076
0.24999999999999964,0.087025316455696,0.3334337647130382,0.3496326821617721,0.24999999999999964,0.537974683544304,0.24999999999999964,0.7610759493670893,0.24999999999999964,1.3259493670886076,0.24836065573770458,2.018987341772151
0.26680327868852427,0.07278481012658222,0.3636276194531458,0.36328189215847395,0.26680327868852427,0.5522151898734178,0.26680327868852427,0.7658227848101267,0.26680327868852427,1.2405063291139244,0.2651639344262291,1.962025316455696
0.2856557377049176,0.0015822784810133328,0.4000792679217732,0.34462475909413826,0.2856557377049176,0.5427215189873422,0.2856557377049176,0.7943037974683547,0.2856557377049176,1.5253164556962027,0.2844262295081963,2.1329113924050622
0.30778688524590114,0.0015822784810133328,0.44450960339426315,0.3072479254372489,0.30778688524590114,0.5094936708860764,0.30778688524590114,0.6946202531645573,0.3331967213114748,1.5822784810126582,0.3061475409836061,2.5696202531645564
0.3336065573770487,0.0015822784810124446,0.21065573770491777,0.39556962025316444,0.3331967213114748,0.5474683544303796,0.3331967213114748,0.8322784810126582,0.30778688524590114,2.7405063291139236,0.33196721311475363,2.3227848101265813
0.36393442622950767,0.0015822784810124446,0.22213114754098331,0.3860759493670889,0.36393442622950767,0.6139240506329116,0.36393442622950767,0.9367088607594933,0.3635245901639338,2.056962025316455,0.3622950819672125,3.3148734177215182
0.39999999999999936,0.0015822784810124446,0.23524590163934397,0.3860759493670889,0.39999999999999936,0.6091772151898733,0.39999999999999936,0.9936708860759493,0.39999999999999936,1.8481012658227849,0.39877049180327806,1.6012658227848102
0.44467213114754023,0.0015822784810124446,0.16639344262295067,0.4240506329113929,0.44467213114754023,0.5522151898734178,0.44467213114754023,0.9984177215189871,0.44467213114754023,3.348101265822784,0.44303278688524517,0.4477848101265822
